name,assetTag,category,manufacturer,model,serialNumber,status,condition,location,department,supplier,purchaseDate,warrantyExpiry,notes
"HP Compaq 6005 Pro SFF PC #","AUD133035S","Laptop","HP","Compaq 6005 Pro SFF PC #","AUD133035S","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"HP Compaq 6005 Pro SFF PC","6CR40809T7","Laptop","HP","Compaq 6005 Pro SFF PC","6CR40809T7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: MO/S,N-CNC228RY7V"
"NEC VK24MXZGU","VK24MXAGHBTUZEWZY","Laptop","NEC","VK24MXZGU","VK24MXAGHBTUZEWZY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Dell Vestro 3400","DHX90H3","Laptop","Dell","Vestro 3400","DHX90H3","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp Probook 450","5C0493H7N","Laptop","Hp","Probook 450","5C0493H7N","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: L25298003"
"HP Probook 450 G7","5CDO13KZQA","Laptop","HP","Probook 450 G7","5CDO13KZQA","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: yes"
"Hp laptop 14-emoo2one","5CG123FQY","Laptop","Hp","laptop 14-emoo2one","5CG123FQY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp proBook 440 G10","5CD42298RJ","Laptop","Hp","proBook 440 G10","5CD42298RJ","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"Hp laptop 14-emoo2one","5CG5123FQR","Laptop","Hp","laptop 14-emoo2one","5CG5123FQR","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"Hp proBook 440 G10","5CD422298SS","Laptop","Hp","proBook 440 G10","5CD422298SS","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp proBook 440 G10","5CD4321YRX","Laptop","Hp","proBook 440 G10","5CD4321YRX","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: yes"
"HP pavilion Laptop","5CDOSO98CF","Laptop","HP","pavilion Laptop","5CDOSO98CF","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"Hp proBook 440 G10","5CD42299BV","Laptop","Hp","proBook 440 G10","5CD42299BV","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: Yes"
"HP 450 G3","JPH7215F17","Laptop","HP","450 G3","JPH7215F17","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"NEC","VK24MXGHBTUZEWZY","Laptop","NEC","NEC","VK24MXGHBTUZEWZY","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp proBook 450 G3","JPH721VHQK","Laptop","Hp","proBook 450 G3","JPH721VHQK","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: WFULP0BGC572FV"
"HP Pavilion 15-cs3xxx","5CD055098L7","Laptop","HP","Pavilion 15-cs3xxx","5CD055098L7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
"Hp ProBook 450g3","JPH72157T7","Laptop","Hp","ProBook 450g3","JPH72157T7","available","good","Main Office","IT Division","Unknown Supplier","","","Charger S/N: "
